customer_id,join_date,seed_segment,gender,age,loyalty_channel
C0057,2023-06-21,Healthy routine,M,24,Cash-linked
C0058,2024-10-05,Lunch office,F,35,App
C0059,2024-08-24,Healthy routine,M,53,App
C0060,2024-09-29,Student value seeker,M,50,Cash-linked
C0061,2023-06-27,Lunch office,M,46,Cash-linked
C0062,2023-06-05,Student value seeker,F,51,Card
C0063,2024-05-09,Student value seeker,F,44,App
C0064,2023-10-28,Student value seeker,M,22,Cash-linked
C0065,2024-03-31,Student value seeker,F,31,Cash-linked
C0066,2024-01-27,Morning commuter,F,41,App
C0067,2024-03-18,Lunch office,M,32,Cash-linked
C0068,2024-08-28,Student value seeker,M,28,Cash-linked
C0069,2024-04-17,Lunch office,M,50,Card
C0070,2023-12-21,Student value seeker,F,40,Card
C0071,2024-08-30,Family stock-up,F,39,Cash-linked
C0072,2023-08-21,Student value seeker,F,42,Card
C0073,2023-06-22,Healthy routine,M,50,App
C0074,2024-08-09,Lunch office,F,23,Card
C0075,2024-02-28,Morning commuter,F,35,App
C0076,2023-09-27,Family stock-up,M,27,Cash-linked
C0077,2023-06-24,Healthy routine,M,38,App
C0078,2024-02-21,Morning commuter,F,45,App
C0079,2024-03-02,Morning commuter,F,34,App
C0080,2024-04-19,Morning commuter,M,25,Card
C0081,2024-11-21,Family stock-up,M,35,Cash-linked
C0082,2024-07-23,Morning commuter,F,25,App
C0083,2024-03-09,Morning commuter,F,30,Card
C0084,2024-01-25,Healthy routine,F,36,Card
C0085,2023-07-09,Lunch office,M,40,App
C0086,2024-03-21,Morning commuter,F,19,Cash-linked
C0087,2023-07-04,Healthy routine,F,50,Card
C0088,2024-03-26,Student value seeker,F,45,Cash-linked
C0089,2023-07-15,Healthy routine,M,50,Card
C0090,2024-04-26,Lunch office,M,30,Cash-linked
C0091,2024-07-12,Student value seeker,M,21,App
C0092,2024-11-18,Morning commuter,M,45,App
C0093,2024-10-07,Morning commuter,M,50,Cash-linked
C0094,2024-02-18,Healthy routine,F,36,App
C0095,2023-08-20,Lunch office,F,35,Card
C0096,2024-11-29,Family stock-up,M,39,Cash-linked
C0097,2024-01-06,Lunch office,F,37,App
C0098,2023-12-03,Lunch office,F,39,Card
C0099,2024-09-08,Student value seeker,M,50,Cash-linked
C0100,2024-05-11,Lunch office,F,23,Card
C0101,2024-09-02,Lunch office,M,55,App
C0102,2023-10-26,Morning commuter,M,37,Cash-linked
C0103,2024-04-08,Morning commuter,F,42,Card
C0104,2023-07-15,Lunch office,M,27,App
C0105,2023-06-26,Student value seeker,F,51,Cash-linked
C0106,2024-11-16,Healthy routine,F,23,App
C0107,2024-10-21,Lunch office,M,24,Card
C0108,2023-08-28,Healthy routine,F,19,Cash-linked
C0109,2023-06-07,Lunch office,M,34,App
C0110,2023-08-23,Morning commuter,F,51,App
C0111,2023-08-05,Family stock-up,F,34,App
C0112,2024-05-06,Lunch office,M,49,Card
C0113,2024-09-15,Student value seeker,M,20,Cash-linked
C0114,2024-05-13,Morning commuter,F,39,Card
C0115,2024-01-26,Healthy routine,F,18,Card
C0116,2024-10-01,Student value seeker,M,24,Cash-linked
C0117,2024-04-24,Student value seeker,M,51,Card
C0118,2023-08-15,Student value seeker,M,25,Cash-linked
C0119,2024-05-12,Family stock-up,F,48,App
C0120,2024-02-10,Student value seeker,F,50,Card
