transaction_id,transaction_ts,sales_date,branch_id,customer_id,payment_method,basket_amount
T0000026,2025-01-01 17:34:30,2025-01-01,B04,C0107,card,13700
T0000027,2025-01-01 09:46:35,2025-01-01,B05,C0098,wallet,15000
T0000028,2025-01-01 17:28:19,2025-01-01,B04,C0064,cash,23700
T0000029,2025-01-01 12:00:57,2025-01-01,B03,C0040,card,26100
T0000030,2025-01-01 15:31:45,2025-01-01,B03,,wallet,23800
T0000031,2025-01-01 20:40:11,2025-01-01,B02,C0093,cash,9100
T0000032,2025-01-01 12:09:51,2025-01-01,B03,,cash,43400
T0000033,2025-01-01 20:09:54,2025-01-01,B01,C0040,cash,15200
T0000034,2025-01-01 11:30:26,2025-01-01,B06,C0046,card,6000
T0000035,2025-01-01 11:54:49,2025-01-01,B05,C0039,card,4600
T0000036,2025-01-01 14:31:52,2025-01-01,B06,C0006,cash,14500
T0000037,2025-01-01 12:06:53,2025-01-01,B05,C0112,card,14000
T0000038,2025-01-01 11:30:14,2025-01-01,B04,C0080,card,15600
T0000039,2025-01-01 17:26:35,2025-01-01,B03,C0038,cash,12400
T0000040,2025-01-01 14:23:30,2025-01-01,B06,,card,5400
T0000041,2025-01-01 15:55:19,2025-01-01,B03,C0002,cash,2700
T0000042,2025-01-01 20:34:12,2025-01-01,B05,,wallet,2700
T0000043,2025-01-01 07:39:14,2025-01-01,B06,C0052,wallet,9300
T0000044,2025-01-01 12:33:09,2025-01-01,B06,,cash,28000
T0000045,2025-01-01 15:29:12,2025-01-01,B04,,card,11700
T0000046,2025-01-01 19:37:24,2025-01-01,B04,C0005,cash,5600
T0000047,2025-01-01 16:10:17,2025-01-01,B02,C0117,card,11200
T0000048,2025-01-01 13:54:30,2025-01-01,B05,C0093,cash,20800
T0000049,2025-01-01 20:30:37,2025-01-01,B05,,cash,24600
T0000050,2025-01-01 22:55:05,2025-01-01,B06,C0024,cash,17500
T0000051,2025-01-01 09:14:54,2025-01-01,B04,C0059,cash,11700
T0000052,2025-01-02 14:11:45,2025-01-02,B02,C0049,cash,14400
T0000053,2025-01-02 08:40:01,2025-01-02,B02,C0010,cash,5200
T0000054,2025-01-02 08:52:26,2025-01-02,B01,C0055,card,2900
T0000055,2025-01-02 18:09:45,2025-01-02,B02,C0038,cash,2800
T0000056,2025-01-02 07:48:35,2025-01-02,B05,C0099,cash,4600
T0000057,2025-01-02 17:58:47,2025-01-02,B01,C0099,cash,1800
T0000058,2025-01-02 09:44:29,2025-01-02,B06,C0067,wallet,9500
T0000059,2025-01-02 16:49:54,2025-01-02,B05,C0068,cash,6300
T0000060,2025-01-02 14:11:26,2025-01-02,B01,C0098,cash,5100
T0000061,2025-01-02 14:09:37,2025-01-02,B05,,card,16600
T0000062,2025-01-02 18:47:52,2025-01-02,B01,C0057,card,8500
T0000063,2025-01-02 12:19:39,2025-01-02,B05,C0117,wallet,29300
T0000064,2025-01-02 21:21:41,2025-01-02,B01,C0033,wallet,6700
T0000065,2025-01-02 19:36:27,2025-01-02,B01,C0118,wallet,13400
T0000066,2025-01-02 12:19:46,2025-01-02,B02,,wallet,4000
T0000067,2025-01-02 11:08:25,2025-01-02,B05,,card,10600
T0000068,2025-01-02 20:33:23,2025-01-02,B06,C0005,cash,8400
T0000069,2025-01-02 08:30:30,2025-01-02,B01,C0108,wallet,28700
T0000070,2025-01-02 13:48:05,2025-01-02,B01,C0094,wallet,14500
T0000071,2025-01-02 14:57:42,2025-01-02,B02,C0060,card,4100
T0000072,2025-01-02 13:50:25,2025-01-02,B03,C0004,card,13400
T0000073,2025-01-02 19:12:39,2025-01-02,B01,C0117,wallet,12400
T0000074,2025-01-02 11:07:51,2025-01-02,B06,C0023,wallet,9700
T0000075,2025-01-02 12:01:49,2025-01-02,B02,C0032,card,13200
T0000076,2025-01-02 22:57:46,2025-01-02,B02,,card,4600
T0000077,2025-01-02 19:57:14,2025-01-02,B01,C0026,wallet,10000
T0000078,2025-01-02 07:17:44,2025-01-02,B02,,card,10000
T0000079,2025-01-02 14:41:16,2025-01-02,B04,C0103,wallet,11700
T0000080,2025-01-02 18:21:41,2025-01-02,B01,C0095,wallet,9400
T0000081,2025-01-02 21:46:22,2025-01-02,B01,C0028,cash,21500
T0000082,2025-01-02 13:34:41,2025-01-02,B04,C0008,cash,8000
T0000083,2025-01-02 18:18:04,2025-01-02,B01,,cash,27900
T0000084,2025-01-02 14:10:24,2025-01-02,B02,,wallet,12600
T0000085,2025-01-02 18:50:12,2025-01-02,B03,,wallet,18000
T0000086,2025-01-02 21:08:10,2025-01-02,B05,,wallet,10600
T0000087,2025-01-02 07:38:46,2025-01-02,B02,C0055,cash,7400
T0000088,2025-01-02 21:40:55,2025-01-02,B03,C0071,card,19800
T0000089,2025-01-02 10:39:44,2025-01-02,B05,C0101,cash,6000
T0000090,2025-01-02 16:27:47,2025-01-02,B03,C0029,cash,8000
T0000091,2025-01-02 17:42:51,2025-01-02,B05,C0097,cash,4000
T0000092,2025-01-02 09:02:26,2025-01-02,B01,,wallet,5400
T0000093,2025-01-02 22:30:43,2025-01-02,B06,C0013,cash,18500
T0000094,2025-01-02 10:30:50,2025-01-02,B05,C0074,cash,8400
T0000095,2025-01-02 12:45:12,2025-01-02,B01,C0115,cash,10900
T0000096,2025-01-02 17:22:46,2025-01-02,B03,C0087,cash,16200
T0000097,2025-01-02 07:27:50,2025-01-02,B06,C0045,wallet,5700
T0000098,2025-01-02 21:12:33,2025-01-02,B02,C0085,wallet,21100
T0000099,2025-01-02 08:45:18,2025-01-02,B04,C0031,wallet,5600
T0000100,2025-01-02 13:22:50,2025-01-02,B05,C0067,cash,3200
T0000101,2025-01-02 13:58:52,2025-01-02,B01,C0007,cash,12400
T0000102,2025-01-02 21:32:16,2025-01-02,B03,C0020,cash,14800
T0000103,2025-01-02 08:30:08,2025-01-02,B03,C0012,cash,5900
T0000104,2025-01-02 09:37:42,2025-01-02,B04,C0081,cash,13900
T0000105,2025-01-03 15:52:15,2025-01-03,B05,C0022,wallet,18400
T0000106,2025-01-03 17:41:02,2025-01-03,B03,C0045,cash,2800
T0000107,2025-01-03 09:45:54,2025-01-03,B01,C0114,card,11300
T0000108,2025-01-03 14:55:28,2025-01-03,B03,C0112,card,7300
T0000109,2025-01-03 08:47:19,2025-01-03,B05,C0068,wallet,14100
T0000110,2025-01-03 16:16:05,2025-01-03,B04,C0071,cash,17000
T0000111,2025-01-03 11:59:19,2025-01-03,B03,C0035,wallet,6200
T0000112,2025-01-03 18:51:02,2025-01-03,B06,C0057,wallet,4200
T0000113,2025-01-03 08:15:47,2025-01-03,B03,C0074,card,25200
T0000114,2025-01-03 20:39:25,2025-01-03,B04,,card,14900
T0000115,2025-01-03 12:41:43,2025-01-03,B06,C0077,card,14100
T0000116,2025-01-03 20:59:02,2025-01-03,B04,C0044,card,13600
T0000117,2025-01-03 14:11:43,2025-01-03,B02,C0050,cash,24900
T0000118,2025-01-03 18:09:38,2025-01-03,B03,C0027,wallet,12700
T0000119,2025-01-03 16:31:34,2025-01-03,B02,C0053,wallet,7000
T0000120,2025-01-03 11:09:05,2025-01-03,B03,,wallet,4100
T0000121,2025-01-03 18:46:04,2025-01-03,B06,C0109,card,21200
T0000122,2025-01-03 21:52:44,2025-01-03,B05,C0012,wallet,17400
T0000123,2025-01-03 19:28:51,2025-01-03,B01,C0058,wallet,10700
T0000124,2025-01-03 08:44:19,2025-01-03,B02,C0061,cash,6700
T0000125,2025-01-03 19:35:38,2025-01-03,B02,,cash,6600
T0000126,2025-01-03 16:14:52,2025-01-03,B03,,cash,6700
T0000127,2025-01-03 07:34:18,2025-01-03,B02,C0004,wallet,5000
T0000128,2025-01-03 19:46:16,2025-01-03,B04,C0117,wallet,23600
T0000129,2025-01-03 18:02:12,2025-01-03,B01,,cash,8200
T0000130,2025-01-03 15:38:30,2025-01-03,B01,C0024,card,16300
T0000131,2025-01-03 09:18:56,2025-01-03,B03,C0004,wallet,2900
T0000132,2025-01-03 13:05:02,2025-01-03,B01,C0010,wallet,11200
T0000133,2025-01-03 14:37:49,2025-01-03,B05,C0113,cash,7300
T0000134,2025-01-03 07:00:29,2025-01-03,B06,,card,13300
T0000135,2025-01-03 09:45:20,2025-01-03,B03,C0090,card,4100
T0000136,2025-01-03 07:08:44,2025-01-03,B04,C0015,wallet,5900
T0000137,2025-01-03 19:34:19,2025-01-03,B06,,cash,23400
T0000138,2025-01-03 15:10:02,2025-01-03,B01,C0089,card,5700
T0000139,2025-01-03 07:57:19,2025-01-03,B04,C0010,cash,21900
T0000140,2025-01-03 13:07:11,2025-01-03,B03,C0038,wallet,9200
T0000141,2025-01-03 12:09:44,2025-01-03,B02,,wallet,24300
T0000142,2025-01-03 14:05:05,2025-01-03,B02,C0112,wallet,24100
T0000143,2025-01-03 22:02:28,2025-01-03,B02,C0001,card,3100
T0000144,2025-01-03 12:43:22,2025-01-03,B02,C0053,card,10700
T0000145,2025-01-03 10:12:25,2025-01-03,B01,,card,16100
T0000146,2025-01-03 19:16:46,2025-01-03,B01,C0109,wallet,10500
T0000147,2025-01-03 15:44:40,2025-01-03,B04,,cash,4800
T0000148,2025-01-03 07:04:58,2025-01-03,B03,C0002,cash,18500
T0000149,2025-01-03 13:43:24,2025-01-03,B01,C0019,wallet,31700
T0000150,2025-01-03 09:22:12,2025-01-03,B03,C0112,wallet,34300
T0000151,2025-01-03 08:36:23,2025-01-03,B06,C0052,card,12600
T0000152,2025-01-03 14:24:53,2025-01-03,B06,,cash,17000
T0000153,2025-01-03 14:04:26,2025-01-03,B05,C0050,cash,9400
T0000154,2025-01-03 14:02:57,2025-01-03,B05,,cash,7900
T0000155,2025-01-03 14:14:22,2025-01-03,B02,C0094,cash,21100
T0000156,2025-01-03 07:18:14,2025-01-03,B01,,card,19100
T0000157,2025-01-03 07:14:57,2025-01-03,B06,C0102,cash,8300
T0000158,2025-01-03 08:44:23,2025-01-03,B06,C0113,cash,7900
T0000159,2025-01-03 09:19:29,2025-01-03,B06,C0091,wallet,20400
T0000160,2025-01-03 20:56:59,2025-01-03,B03,C0089,cash,4900
T0000161,2025-01-03 09:05:41,2025-01-03,B03,,wallet,1800
T0000162,2025-01-03 11:20:14,2025-01-03,B04,C0094,card,11400
T0000163,2025-01-03 17:29:49,2025-01-03,B02,C0051,wallet,2800
T0000164,2025-01-03 16:47:39,2025-01-03,B04,C0115,card,19900
T0000165,2025-01-03 13:34:07,2025-01-03,B01,C0028,cash,18500
T0000166,2025-01-03 21:40:19,2025-01-03,B02,,cash,4800
T0000167,2025-01-03 13:17:29,2025-01-03,B04,C0048,card,24700
T0000168,2025-01-03 22:01:18,2025-01-03,B03,,wallet,27200
T0000169,2025-01-04 07:04:24,2025-01-04,B06,C0051,cash,11000
T0000170,2025-01-04 21:25:00,2025-01-04,B02,C0027,wallet,7500
T0000171,2025-01-04 16:13:20,2025-01-04,B03,C0103,card,5300
T0000172,2025-01-04 16:22:01,2025-01-04,B05,C0061,wallet,2000
T0000173,2025-01-04 18:20:55,2025-01-04,B06,C0022,wallet,23900
T0000174,2025-01-04 20:19:00,2025-01-04,B05,C0072,wallet,8100
T0000175,2025-01-04 07:58:51,2025-01-04,B01,C0065,wallet,21800
T0000176,2025-01-04 09:15:49,2025-01-04,B04,C0006,card,20700
T0000177,2025-01-04 20:26:19,2025-01-04,B02,C0046,wallet,9300
T0000178,2025-01-04 15:24:26,2025-01-04,B05,C0072,wallet,35800
T0000179,2025-01-04 16:08:42,2025-01-04,B06,,wallet,4500
T0000180,2025-01-04 18:29:06,2025-01-04,B03,C0063,card,12200
T0000181,2025-01-04 10:45:34,2025-01-04,B05,,wallet,26000
T0000182,2025-01-04 11:53:44,2025-01-04,B01,,card,8000
T0000183,2025-01-04 18:52:53,2025-01-04,B03,C0091,card,3000
T0000184,2025-01-04 22:29:50,2025-01-04,B04,C0046,cash,15800
T0000185,2025-01-04 16:57:34,2025-01-04,B02,C0006,wallet,12100
T0000186,2025-01-04 17:25:59,2025-01-04,B05,,card,3500
T0000187,2025-01-04 12:43:44,2025-01-04,B04,C0085,cash,11700
T0000188,2025-01-04 10:06:34,2025-01-04,B06,,wallet,6000
T0000189,2025-01-04 07:51:54,2025-01-04,B03,C0110,card,35200
T0000190,2025-01-04 12:22:35,2025-01-04,B05,C0119,card,15700
T0000191,2025-01-04 19:27:50,2025-01-04,B03,,cash,22300
T0000192,2025-01-04 12:17:46,2025-01-04,B01,C0003,wallet,23000
T0000193,2025-01-04 13:55:55,2025-01-04,B05,,card,7000
T0000194,2025-01-04 22:53:41,2025-01-04,B05,C0111,card,5600
T0000195,2025-01-04 11:18:29,2025-01-04,B03,C0006,card,5000
T0000196,2025-01-04 11:24:54,2025-01-04,B06,C0039,cash,3900
T0000197,2025-01-04 16:25:52,2025-01-04,B03,C0093,card,13200
T0000198,2025-01-04 10:37:24,2025-01-04,B02,,card,27400
T0000199,2025-01-04 14:40:24,2025-01-04,B01,C0048,card,8700
T0000200,2025-01-04 21:15:14,2025-01-04,B05,C0025,wallet,16000
T0000201,2025-01-04 15:49:17,2025-01-04,B03,C0055,cash,4800
T0000202,2025-01-04 18:05:39,2025-01-04,B04,C0091,cash,6600
T0000203,2025-01-04 11:56:00,2025-01-04,B04,,card,6900
T0000204,2025-01-04 11:23:47,2025-01-04,B06,C0001,cash,21100
T0000205,2025-01-04 16:19:14,2025-01-04,B02,C0109,wallet,2200
T0000206,2025-01-04 07:59:36,2025-01-04,B04,C0092,cash,13100
T0000207,2025-01-04 17:44:19,2025-01-04,B05,C0027,wallet,11900
T0000208,2025-01-04 10:00:27,2025-01-04,B02,C0044,card,6300
T0000209,2025-01-04 17:15:38,2025-01-04,B04,C0023,card,10400
T0000210,2025-01-04 15:20:13,2025-01-04,B06,C0050,wallet,9600
T0000211,2025-01-04 17:36:10,2025-01-04,B01,C0078,cash,1800
T0000212,2025-01-04 14:32:51,2025-01-04,B06,C0025,cash,14200
T0000213,2025-01-04 11:49:28,2025-01-04,B06,C0002,card,9500
T0000214,2025-01-04 16:39:02,2025-01-04,B06,C0039,cash,26400
T0000215,2025-01-04 15:07:38,2025-01-04,B06,,wallet,10000
T0000216,2025-01-04 17:36:20,2025-01-04,B02,C0068,cash,3500
T0000217,2025-01-04 14:52:45,2025-01-04,B04,C0084,cash,17400
T0000218,2025-01-04 21:29:06,2025-01-04,B05,C0034,card,27400
T0000219,2025-01-04 18:34:46,2025-01-04,B02,,wallet,12200
T0000220,2025-01-04 07:14:38,2025-01-04,B05,C0080,card,12400
T0000221,2025-01-04 19:37:30,2025-01-04,B05,C0034,wallet,14300
T0000222,2025-01-04 12:26:19,2025-01-04,B06,C0076,cash,6200
T0000223,2025-01-04 12:43:23,2025-01-04,B02,C0028,card,9000
T0000224,2025-01-04 17:36:08,2025-01-04,B01,C0089,card,20700
T0000225,2025-01-04 18:04:28,2025-01-04,B03,C0065,card,8000
T0000226,2025-01-04 11:01:53,2025-01-04,B06,C0026,cash,11100
T0000227,2025-01-04 14:12:40,2025-01-04,B02,C0050,card,20200
T0000228,2025-01-04 11:31:11,2025-01-04,B05,C0115,wallet,9300
T0000229,2025-01-04 18:35:47,2025-01-04,B05,,card,23500
T0000230,2025-01-04 08:44:51,2025-01-04,B05,C0102,card,13100
T0000231,2025-01-04 18:09:50,2025-01-04,B03,C0085,card,13000
T0000232,2025-01-04 17:07:42,2025-01-04,B02,C0085,card,11200
T0000233,2025-01-05 13:08:47,2025-01-05,B03,C0058,card,34500
T0000234,2025-01-05 11:22:32,2025-01-05,B05,C0101,card,9800
T0000235,2025-01-05 20:40:35,2025-01-05,B05,C0060,card,24200
T0000236,2025-01-05 14:20:59,2025-01-05,B04,,cash,8100
T0000237,2025-01-05 22:48:08,2025-01-05,B05,C0109,card,10700
T0000238,2025-01-05 18:57:16,2025-01-05,B01,C0041,cash,12800
T0000239,2025-01-05 16:00:01,2025-01-05,B04,C0026,cash,5300
T0000240,2025-01-05 11:06:29,2025-01-05,B06,C0099,wallet,2900
T0000241,2025-01-05 19:24:42,2025-01-05,B03,C0086,wallet,14600
T0000242,2025-01-05 07:57:13,2025-01-05,B04,C0027,card,11500
T0000243,2025-01-05 09:06:25,2025-01-05,B02,,card,5200
T0000244,2025-01-05 10:13:46,2025-01-05,B01,C0119,cash,5200
T0000245,2025-01-05 19:25:31,2025-01-05,B01,C0005,card,18600
T0000246,2025-01-05 14:54:59,2025-01-05,B03,C0026,wallet,30600
T0000247,2025-01-05 07:46:55,2025-01-05,B02,C0102,wallet,3000
T0000248,2025-01-05 15:20:47,2025-01-05,B04,C0046,card,24300
T0000249,2025-01-05 13:25:31,2025-01-05,B05,,cash,11900
T0000250,2025-01-05 19:47:23,2025-01-05,B02,C0102,cash,19100
T0000251,2025-01-05 20:34:29,2025-01-05,B04,C0069,cash,11500
T0000252,2025-01-05 22:35:21,2025-01-05,B05,C0115,wallet,19400
T0000253,2025-01-05 22:30:22,2025-01-05,B05,C0038,wallet,8900
T0000254,2025-01-05 15:06:50,2025-01-05,B01,C0089,card,23900
T0000255,2025-01-05 17:22:41,2025-01-05,B03,C0105,wallet,3800
T0000256,2025-01-05 18:09:38,2025-01-05,B02,C0083,card,3500
T0000257,2025-01-05 18:09:32,2025-01-05,B06,C0072,wallet,2900
T0000258,2025-01-05 16:32:31,2025-01-05,B04,C0105,cash,47000
T0000259,2025-01-05 11:10:08,2025-01-05,B01,C0085,card,32200
T0000260,2025-01-05 16:44:52,2025-01-05,B06,C0101,wallet,9800
T0000261,2025-01-05 13:29:31,2025-01-05,B05,C0076,wallet,2600
T0000262,2025-01-05 21:31:56,2025-01-05,B06,,cash,4800
T0000263,2025-01-05 07:08:56,2025-01-05,B03,C0075,card,39000
T0000264,2025-01-05 19:26:23,2025-01-05,B05,C0008,wallet,28200
T0000265,2025-01-05 07:14:52,2025-01-05,B03,C0082,cash,19200
T0000266,2025-01-05 19:30:52,2025-01-05,B04,C0108,card,32900
T0000267,2025-01-05 19:39:54,2025-01-05,B01,C0006,card,26900
T0000268,2025-01-05 07:48:45,2025-01-05,B01,C0050,cash,18300
T0000269,2025-01-05 14:49:35,2025-01-05,B01,C0005,wallet,5000
T0000270,2025-01-05 09:24:12,2025-01-05,B06,C0011,wallet,10400
T0000271,2025-01-05 11:06:44,2025-01-05,B01,C0087,card,4000
T0000272,2025-01-05 22:02:18,2025-01-05,B05,,card,5600
T0000273,2025-01-05 17:51:40,2025-01-05,B01,C0081,card,11100
T0000274,2025-01-05 07:19:27,2025-01-05,B02,C0009,card,22800
T0000275,2025-01-05 11:42:53,2025-01-05,B01,,wallet,16600
T0000276,2025-01-05 07:05:59,2025-01-05,B03,C0056,cash,25500
T0000277,2025-01-05 08:52:30,2025-01-05,B01,C0109,wallet,14800
T0000278,2025-01-05 12:35:12,2025-01-05,B01,C0110,card,20100
T0000279,2025-01-05 21:38:23,2025-01-05,B01,C0045,wallet,17000
T0000280,2025-01-05 09:26:07,2025-01-05,B04,,card,5200
T0000281,2025-01-05 15:51:14,2025-01-05,B06,C0067,wallet,17400
T0000282,2025-01-05 17:00:48,2025-01-05,B01,C0057,card,7000
T0000283,2025-01-05 18:50:34,2025-01-05,B01,C0029,cash,2400
T0000284,2025-01-05 08:52:33,2025-01-05,B05,C0090,card,5400
T0000285,2025-01-05 22:19:36,2025-01-05,B05,C0009,cash,4300
T0000286,2025-01-05 16:35:07,2025-01-05,B03,C0092,wallet,6500
T0000287,2025-01-05 20:34:36,2025-01-05,B05,C0061,cash,9100
T0000288,2025-01-05 09:36:02,2025-01-05,B01,C0114,card,8600
T0000289,2025-01-05 19:37:07,2025-01-05,B03,C0018,wallet,11700
T0000290,2025-01-05 17:03:49,2025-01-05,B06,C0079,wallet,30400
T0000291,2025-01-05 22:17:44,2025-01-05,B01,,wallet,9500
T0000292,2025-01-05 12:59:33,2025-01-05,B03,C0108,wallet,8900
T0000293,2025-01-05 08:50:05,2025-01-05,B05,,cash,4800
T0000294,2025-01-05 11:47:51,2025-01-05,B03,C0037,wallet,8800
T0000295,2025-01-06 18:35:52,2025-01-06,B05,C0055,wallet,12000
T0000296,2025-01-06 07:40:36,2025-01-06,B03,,wallet,53500
T0000297,2025-01-06 13:57:27,2025-01-06,B06,C0033,card,9500
T0000298,2025-01-06 07:31:42,2025-01-06,B01,C0008,card,9300
T0000299,2025-01-06 21:13:47,2025-01-06,B03,C0024,card,30000
T0000300,2025-01-06 10:40:49,2025-01-06,B01,C0120,card,7800
T0000301,2025-01-06 19:37:42,2025-01-06,B05,,wallet,8400
T0000302,2025-01-06 08:59:32,2025-01-06,B06,C0034,wallet,12900
T0000303,2025-01-06 21:01:53,2025-01-06,B03,C0077,card,5200
T0000304,2025-01-06 09:15:56,2025-01-06,B05,,wallet,15900
T0000305,2025-01-06 22:21:36,2025-01-06,B05,C0001,wallet,7300
T0000306,2025-01-06 20:44:59,2025-01-06,B02,C0044,cash,8800
T0000307,2025-01-06 13:01:09,2025-01-06,B06,C0083,card,6800
T0000308,2025-01-06 11:31:35,2025-01-06,B06,C0056,card,17600
T0000309,2025-01-06 07:40:46,2025-01-06,B04,C0111,cash,6600
T0000310,2025-01-06 22:34:59,2025-01-06,B01,C0021,wallet,5400
T0000311,2025-01-06 09:29:03,2025-01-06,B05,C0094,card,5600
T0000312,2025-01-06 21:17:24,2025-01-06,B04,C0037,wallet,1800
T0000313,2025-01-06 22:16:21,2025-01-06,B03,,card,8300
T0000314,2025-01-06 12:20:15,2025-01-06,B06,C0002,card,14000
T0000315,2025-01-06 18:52:24,2025-01-06,B03,C0104,card,13700
T0000316,2025-01-06 17:43:35,2025-01-06,B05,C0102,card,30600
T0000317,2025-01-06 17:41:33,2025-01-06,B03,C0013,wallet,25700
T0000318,2025-01-06 08:54:11,2025-01-06,B05,C0066,cash,10300
T0000319,2025-01-06 15:48:45,2025-01-06,B01,C0090,cash,7200
T0000320,2025-01-06 16:34:21,2025-01-06,B01,C0074,cash,11200
T0000321,2025-01-06 15:31:48,2025-01-06,B01,C0111,cash,5000
T0000322,2025-01-06 10:20:34,2025-01-06,B01,C0043,wallet,28200
T0000323,2025-01-06 22:44:13,2025-01-06,B03,C0058,card,6700
T0000324,2025-01-06 22:31:49,2025-01-06,B06,C0068,wallet,2100
T0000325,2025-01-06 11:12:11,2025-01-06,B03,C0102,cash,2600
T0000326,2025-01-06 18:22:31,2025-01-06,B06,C0038,cash,9900
T0000327,2025-01-06 21:03:21,2025-01-06,B06,C0115,cash,8600
T0000328,2025-01-06 14:18:58,2025-01-06,B03,,card,6400
T0000329,2025-01-06 08:39:29,2025-01-06,B06,C0054,wallet,7900
T0000330,2025-01-06 19:12:14,2025-01-06,B05,C0042,card,26800
T0000331,2025-01-06 16:06:40,2025-01-06,B03,C0032,card,11100
T0000332,2025-01-06 14:46:45,2025-01-06,B03,C0037,card,27800
T0000333,2025-01-06 20:19:22,2025-01-06,B05,C0071,wallet,28500
T0000334,2025-01-06 13:26:55,2025-01-06,B05,C0059,card,16800
T0000335,2025-01-06 20:20:41,2025-01-06,B05,C0076,cash,17200
T0000336,2025-01-06 20:33:49,2025-01-06,B03,C0075,card,32800
T0000337,2025-01-06 21:32:33,2025-01-06,B02,C0050,card,2400
T0000338,2025-01-06 09:35:58,2025-01-06,B02,C0041,cash,2900
T0000339,2025-01-06 19:18:53,2025-01-06,B04,C0067,cash,15200
T0000340,2025-01-07 13:06:26,2025-01-07,B02,C0057,wallet,12600
T0000341,2025-01-07 08:12:18,2025-01-07,B04,C0120,wallet,21500
T0000342,2025-01-07 14:21:38,2025-01-07,B05,C0110,cash,23500
T0000343,2025-01-07 18:06:21,2025-01-07,B03,C0073,wallet,4900
T0000344,2025-01-07 07:49:35,2025-01-07,B03,C0054,wallet,10500
T0000345,2025-01-07 09:40:58,2025-01-07,B01,C0024,cash,16500
T0000346,2025-01-07 20:31:03,2025-01-07,B02,C0068,cash,6300
T0000347,2025-01-07 21:22:37,2025-01-07,B05,C0056,card,28400
T0000348,2025-01-07 11:43:14,2025-01-07,B03,C0091,wallet,2400
T0000349,2025-01-07 17:08:13,2025-01-07,B04,,wallet,3600
T0000350,2025-01-07 18:00:55,2025-01-07,B03,C0048,cash,19000
T0000351,2025-01-07 18:56:36,2025-01-07,B05,C0080,wallet,5000
T0000352,2025-01-07 12:08:27,2025-01-07,B04,C0050,cash,20800
T0000353,2025-01-07 18:59:03,2025-01-07,B04,C0075,wallet,7800
T0000354,2025-01-07 22:07:22,2025-01-07,B03,C0030,wallet,15700
T0000355,2025-01-07 21:02:39,2025-01-07,B02,C0080,card,19200
T0000356,2025-01-07 21:29:57,2025-01-07,B04,C0096,card,6900
T0000357,2025-01-07 17:27:11,2025-01-07,B02,C0046,card,14800
T0000358,2025-01-07 17:58:01,2025-01-07,B03,C0004,cash,51900
T0000359,2025-01-07 13:27:58,2025-01-07,B02,C0051,card,9100
T0000360,2025-01-07 22:53:59,2025-01-07,B06,C0047,cash,4400
T0000361,2025-01-07 15:28:36,2025-01-07,B05,,card,2100
T0000362,2025-01-07 21:56:30,2025-01-07,B03,C0086,card,2300
T0000363,2025-01-07 17:22:57,2025-01-07,B04,C0039,card,20900
T0000364,2025-01-07 22:33:46,2025-01-07,B03,C0021,cash,27000
T0000365,2025-01-07 12:04:31,2025-01-07,B03,C0044,cash,19800
T0000366,2025-01-07 15:14:26,2025-01-07,B04,,cash,11400
T0000367,2025-01-07 22:59:42,2025-01-07,B01,C0034,cash,19400
T0000368,2025-01-07 09:08:47,2025-01-07,B05,C0078,card,12800
T0000369,2025-01-07 15:34:40,2025-01-07,B04,C0005,card,16900
T0000370,2025-01-07 18:25:26,2025-01-07,B02,,card,5400
T0000371,2025-01-07 20:35:10,2025-01-07,B02,,wallet,16400
