line_id,transaction_id,product_code,qty,unit_price,discount_amt,line_amount
L00000055,T0000023,DES002,2,5700,0,11400
L00000056,T0000023,RTE001,1,6300,500,5800
L00000057,T0000024,RTE002,1,7000,500,6500
L00000058,T0000024,RTE001,1,6300,0,6300
L00000059,T0000024,BEV001,2,2500,0,5000
L00000060,T0000025,BEV002,2,1800,500,3100
L00000061,T0000026,RTE002,1,7300,200,7100
L00000062,T0000026,BEV003,1,4200,500,3700
L00000063,T0000026,HOU001,1,2900,0,2900
L00000064,T0000027,DES002,1,6000,0,6000
L00000065,T0000027,BEV003,1,4300,0,4300
L00000066,T0000027,HOU002,2,2500,300,4700
L00000067,T0000028,SNK001,2,3600,300,6900
L00000068,T0000028,RTE003,3,5000,0,15000
L00000069,T0000028,BEV002,1,1800,0,1800
L00000070,T0000029,SNK003,3,5400,0,16200
L00000071,T0000029,HOU001,1,2900,0,2900
L00000072,T0000029,RTE002,1,7000,0,7000
L00000073,T0000030,SNK003,2,5300,200,10400
L00000074,T0000030,RTE003,1,4600,200,4400
L00000075,T0000030,RTE001,1,6700,0,6700
L00000076,T0000030,SNK004,1,2800,500,2300
L00000077,T0000031,DES003,1,3700,0,3700
L00000078,T0000031,SNK003,1,5400,0,5400
L00000079,T0000032,DES002,3,5700,500,16600
L00000080,T0000032,SNK001,2,3600,0,7200
L00000081,T0000032,DES001,2,2900,0,5800
L00000082,T0000032,RTE003,1,4600,200,4400
L00000083,T0000032,RTE003,2,4800,200,9400
L00000084,T0000033,RTE001,1,6600,0,6600
L00000085,T0000033,RTE004,1,8600,0,8600
L00000086,T0000034,DES003,1,3300,500,2800
L00000087,T0000034,DES003,1,3500,300,3200
L00000088,T0000035,HOU002,1,2300,200,2100
L00000089,T0000035,HOU001,1,2700,200,2500
L00000090,T0000036,BEV004,1,2600,200,2400
L00000091,T0000036,DES003,1,3600,200,3400
L00000092,T0000036,SNK001,1,3900,0,3900
L00000093,T0000036,RTE003,1,4800,0,4800
L00000094,T0000037,HOU001,1,3100,0,3100
L00000095,T0000037,SNK004,1,2800,0,2800
L00000096,T0000037,RTE004,1,8600,500,8100
L00000097,T0000038,RTE004,1,8800,0,8800
L00000098,T0000038,HOU003,1,7100,300,6800
L00000099,T0000039,BEV004,1,2400,0,2400
L00000100,T0000039,HOU002,2,2400,500,4300
L00000101,T0000039,SNK004,2,3000,300,5700
L00000102,T0000040,HOU002,1,2300,200,2100
L00000103,T0000040,SNK001,1,3800,500,3300
L00000104,T0000041,DES001,1,2900,200,2700
L00000105,T0000042,BEV004,1,2700,0,2700
L00000106,T0000043,BEV004,1,2400,200,2200
L00000107,T0000043,RTE003,1,4600,0,4600
L00000108,T0000043,BEV001,1,2500,0,2500
L00000109,T0000044,DES002,1,5900,200,5700
L00000110,T0000044,RTE002,1,7000,0,7000
L00000111,T0000044,HOU003,1,6900,200,6700
L00000112,T0000044,HOU001,2,2700,300,5100
L00000113,T0000044,DES003,1,3500,0,3500
L00000114,T0000045,DES002,1,6100,300,5800
L00000115,T0000045,DES002,1,5900,0,5900
L00000116,T0000046,BEV004,1,2400,0,2400
L00000117,T0000046,DES003,1,3500,300,3200
L00000118,T0000047,BEV002,1,1900,500,1400
L00000119,T0000047,HOU003,1,7000,0,7000
L00000120,T0000047,DES001,1,3100,300,2800
L00000121,T0000048,DES002,2,6100,0,12200
L00000122,T0000048,RTE004,1,8600,0,8600
L00000123,T0000049,DES003,1,3300,500,2800
L00000124,T0000049,BEV001,1,2700,0,2700
L00000125,T0000049,RTE002,2,7200,0,14400
L00000126,T0000049,SNK003,1,5200,500,4700
L00000127,T0000050,RTE004,1,8400,300,8100
L00000128,T0000050,BEV001,1,2500,300,2200
L00000129,T0000050,BEV001,3,2500,300,7200
L00000130,T0000051,HOU003,1,7000,300,6700
L00000131,T0000051,HOU002,1,2300,200,2100
L00000132,T0000051,HOU001,1,2900,0,2900
L00000133,T0000052,HOU002,1,2300,0,2300
L00000134,T0000052,RTE001,1,6300,0,6300
L00000135,T0000052,RTE001,1,6300,500,5800
L00000136,T0000053,DES002,1,5700,500,5200
L00000137,T0000054,HOU001,1,2900,0,2900
L00000138,T0000055,BEV004,1,2800,0,2800
L00000139,T0000056,SNK004,1,2900,500,2400
L00000140,T0000056,HOU002,1,2400,200,2200
L00000141,T0000057,BEV002,1,2000,200,1800
L00000142,T0000058,HOU003,1,6700,0,6700
L00000143,T0000058,SNK004,1,2800,0,2800
L00000144,T0000059,RTE001,1,6300,0,6300
L00000145,T0000060,SNK003,1,5400,300,5100
L00000146,T0000061,BEV003,1,4400,0,4400
L00000147,T0000061,BEV003,1,4400,200,4200
L00000148,T0000061,DES001,2,2900,0,5800
L00000149,T0000061,HOU002,1,2400,200,2200
L00000150,T0000062,SNK002,1,4200,0,4200
L00000151,T0000062,BEV003,1,4300,0,4300
L00000152,T0000063,HOU001,2,2900,0,5800
L00000153,T0000063,RTE002,1,7400,200,7200
L00000154,T0000063,SNK003,1,5000,200,4800
L00000155,T0000063,RTE002,1,7400,0,7400
L00000156,T0000063,RTE003,1,4600,500,4100
L00000157,T0000064,HOU003,1,6700,0,6700
L00000158,T0000065,RTE004,1,8700,0,8700
L00000159,T0000065,SNK003,1,5200,500,4700
L00000160,T0000066,BEV002,2,2000,0,4000
L00000161,T0000067,SNK002,1,4300,200,4100
L00000162,T0000067,HOU003,1,7000,500,6500
L00000163,T0000068,RTE004,1,8400,0,8400
L00000164,T0000069,BEV001,1,2500,300,2200
L00000165,T0000069,RTE001,1,6700,500,6200
L00000166,T0000069,SNK003,3,5200,0,15600
L00000167,T0000069,HOU002,1,2300,0,2300
L00000168,T0000069,HOU002,1,2400,0,2400
L00000169,T0000070,DES002,2,6100,0,12200
L00000170,T0000070,BEV004,1,2600,300,2300
L00000171,T0000071,SNK004,1,2800,500,2300
L00000172,T0000071,BEV001,1,2300,500,1800
L00000173,T0000072,DES001,3,3300,200,9700
L00000174,T0000072,SNK002,1,4000,300,3700
L00000175,T0000073,HOU002,1,2300,0,2300
L00000176,T0000073,DES001,1,3200,0,3200
L00000177,T0000073,DES003,1,3500,300,3200
L00000178,T0000073,DES003,1,3700,0,3700
L00000179,T0000074,HOU003,1,6700,300,6400
L00000180,T0000074,SNK001,1,3800,500,3300
L00000181,T0000075,RTE004,1,8400,0,8400
L00000182,T0000075,RTE003,1,4800,0,4800
L00000183,T0000076,RTE003,1,4600,0,4600
L00000184,T0000077,RTE003,1,4800,0,4800
L00000185,T0000077,BEV001,2,2600,0,5200
L00000186,T0000078,RTE003,1,4900,300,4600
L00000187,T0000078,SNK003,1,5400,0,5400
L00000188,T0000079,RTE004,1,8400,500,7900
L00000189,T0000079,BEV001,1,2300,0,2300
L00000190,T0000079,BEV002,1,1800,300,1500
L00000191,T0000080,SNK003,1,5300,200,5100
L00000192,T0000080,BEV001,2,2300,300,4300
L00000193,T0000081,HOU002,2,2100,0,4200
L00000194,T0000081,RTE001,1,6500,500,6000
L00000195,T0000081,RTE003,1,5000,200,4800
L00000196,T0000081,HOU003,1,7000,500,6500
L00000197,T0000082,RTE003,1,4800,300,4500
L00000198,T0000082,SNK002,1,4000,500,3500
L00000199,T0000083,RTE002,1,7200,300,6900
L00000200,T0000083,HOU002,3,2300,300,6600
L00000201,T0000083,RTE003,3,4800,0,14400
L00000202,T0000084,BEV001,1,2300,200,2100
L00000203,T0000084,RTE002,1,7200,0,7200
L00000204,T0000084,SNK001,1,3800,500,3300
L00000205,T0000085,RTE002,2,7300,0,14600
L00000206,T0000085,BEV002,2,1800,200,3400
L00000207,T0000086,SNK003,2,5300,0,10600
L00000208,T0000087,DES001,1,3200,0,3200
L00000209,T0000087,HOU002,2,2100,0,4200
L00000210,T0000088,RTE003,1,4800,0,4800
L00000211,T0000088,SNK001,2,4000,200,7800
L00000212,T0000088,RTE002,1,7200,0,7200
L00000213,T0000089,SNK002,1,4200,0,4200
L00000214,T0000089,HOU002,1,2300,500,1800
L00000215,T0000090,HOU003,1,6700,500,6200
L00000216,T0000090,BEV002,1,1800,0,1800
L00000217,T0000091,BEV003,1,4200,200,4000
L00000218,T0000092,DES002,1,5900,500,5400
L00000219,T0000093,HOU002,1,2300,200,2100
L00000220,T0000093,HOU003,1,6700,500,6200
L00000221,T0000093,DES001,1,3300,0,3300
L00000222,T0000093,RTE002,1,7400,500,6900
L00000223,T0000094,HOU002,1,2500,500,2000
L00000224,T0000094,HOU003,1,6900,500,6400
L00000225,T0000095,RTE001,1,6300,200,6100
L00000226,T0000095,HOU002,2,2400,0,4800
L00000227,T0000096,SNK003,1,5000,0,5000
L00000228,T0000096,DES001,1,3100,0,3100
L00000229,T0000096,BEV002,1,1900,300,1600
L00000230,T0000096,RTE002,1,7000,500,6500
L00000231,T0000097,DES001,1,3100,0,3100
L00000232,T0000097,HOU001,1,2900,300,2600
L00000233,T0000098,RTE001,1,6700,0,6700
L00000234,T0000098,RTE002,2,7200,0,14400
L00000235,T0000099,HOU002,1,2300,0,2300
L00000236,T0000099,DES003,1,3300,0,3300
L00000237,T0000100,BEV002,1,1800,200,1600
L00000238,T0000100,HOU002,1,2100,500,1600
L00000239,T0000101,SNK001,2,3600,0,7200
L00000240,T0000101,BEV004,2,2600,0,5200
L00000241,T0000102,RTE002,2,7400,0,14800
L00000242,T0000103,HOU001,1,2900,0,2900
L00000243,T0000103,SNK004,1,3000,0,3000
L00000244,T0000104,SNK001,1,3900,0,3900
L00000245,T0000104,SNK003,1,5200,0,5200
L00000246,T0000104,BEV001,2,2500,200,4800
L00000247,T0000105,DES001,1,3100,300,2800
L00000248,T0000105,SNK003,2,5300,500,10100
L00000249,T0000105,DES002,1,6000,500,5500
L00000250,T0000106,SNK004,1,2800,0,2800
L00000251,T0000107,HOU001,1,2900,0,2900
L00000252,T0000107,RTE004,1,8700,300,8400
L00000253,T0000108,DES003,1,3500,200,3300
L00000254,T0000108,BEV003,1,4200,200,4000
L00000255,T0000109,BEV002,1,1600,0,1600
L00000256,T0000109,HOU003,1,6700,200,6500
L00000257,T0000109,BEV003,1,4000,200,3800
L00000258,T0000109,BEV001,1,2700,500,2200
L00000259,T0000110,HOU001,2,3100,0,6200
L00000260,T0000110,SNK003,1,5300,200,5100
L00000261,T0000110,HOU001,2,3100,500,5700
L00000262,T0000111,DES001,1,3300,200,3100
L00000263,T0000111,HOU001,1,3100,0,3100
L00000264,T0000112,BEV003,1,4200,0,4200
L00000265,T0000113,RTE004,1,8400,200,8200
L00000266,T0000113,RTE002,2,7200,0,14400
L00000267,T0000113,BEV004,1,2800,200,2600
L00000268,T0000114,BEV004,2,2600,300,4900
L00000269,T0000114,RTE002,1,7000,0,7000
L00000270,T0000114,HOU001,1,3000,0,3000
L00000271,T0000115,BEV002,1,1800,200,1600
L00000272,T0000115,RTE002,1,7200,500,6700
L00000273,T0000115,DES003,1,3500,200,3300
L00000274,T0000115,BEV001,1,2500,0,2500
L00000275,T0000116,BEV004,1,2700,300,2400
L00000276,T0000116,BEV002,1,1800,300,1500
L00000277,T0000116,BEV003,1,4200,0,4200
L00000278,T0000116,BEV004,1,2600,0,2600
L00000279,T0000116,DES001,1,2900,0,2900
L00000280,T0000117,BEV001,2,2500,500,4500
L00000281,T0000117,DES001,1,3200,0,3200
L00000282,T0000117,BEV003,1,4300,0,4300
L00000283,T0000117,RTE001,2,6700,500,12900
L00000284,T0000118,RTE003,1,4600,0,4600
L00000285,T0000118,SNK002,2,4300,500,8100
L00000286,T0000119,DES001,1,3100,300,2800
L00000287,T0000119,BEV003,1,4200,0,4200
L00000288,T0000120,RTE003,1,4600,500,4100
L00000289,T0000121,DES001,1,3100,200,2900
L00000290,T0000121,BEV002,1,1800,200,1600
L00000291,T0000121,DES002,1,5900,0,5900
L00000292,T0000121,SNK002,2,4200,500,7900
L00000293,T0000121,DES001,1,3100,200,2900
L00000294,T0000122,BEV002,1,1800,0,1800
L00000295,T0000122,BEV004,3,2400,0,7200
L00000296,T0000122,HOU001,1,3000,200,2800
L00000297,T0000122,DES002,1,5900,300,5600
L00000298,T0000123,SNK002,1,4400,200,4200
L00000299,T0000123,RTE001,1,6500,0,6500
L00000300,T0000124,HOU003,1,6700,0,6700
L00000301,T0000125,BEV002,1,1900,0,1900
L00000302,T0000125,HOU002,1,2300,500,1800
L00000303,T0000125,DES001,1,2900,0,2900
L00000304,T0000126,HOU003,1,6900,200,6700
L00000305,T0000127,HOU001,1,2900,500,2400
L00000306,T0000127,DES001,1,3100,500,2600
L00000307,T0000128,BEV001,1,2500,200,2300
L00000308,T0000128,SNK002,1,4200,200,4000
L00000309,T0000128,DES003,1,3300,0,3300
L00000310,T0000128,RTE004,1,8800,0,8800
L00000311,T0000128,SNK003,1,5200,0,5200
L00000312,T0000129,RTE004,1,8700,500,8200
L00000313,T0000130,DES003,1,3500,500,3000
L00000314,T0000130,RTE003,1,5000,300,4700
L00000315,T0000130,HOU001,1,2900,300,2600
L00000316,T0000130,DES002,1,6000,0,6000
L00000317,T0000131,HOU001,1,2900,0,2900
L00000318,T0000132,RTE001,1,6500,200,6300
L00000319,T0000132,RTE003,1,4900,0,4900
L00000320,T0000133,BEV001,3,2500,200,7300
L00000321,T0000134,SNK001,1,4000,300,3700
L00000322,T0000134,DES001,3,3200,0,9600
L00000323,T0000135,BEV003,1,4300,200,4100
L00000324,T0000136,DES002,1,5900,0,5900
L00000325,T0000137,BEV004,3,2800,0,8400
L00000326,T0000137,SNK001,1,3800,0,3800
L00000327,T0000137,BEV001,1,2700,300,2400
L00000328,T0000137,RTE004,1,8800,0,8800
L00000329,T0000138,DES002,1,6000,300,5700
L00000330,T0000139,RTE004,1,8600,500,8100
L00000331,T0000139,SNK003,1,5200,0,5200
L00000332,T0000139,HOU001,1,3000,0,3000
L00000333,T0000139,SNK004,2,2800,0,5600
L00000334,T0000140,SNK003,1,5300,200,5100
L00000335,T0000140,BEV004,1,2600,500,2100
L00000336,T0000140,BEV001,1,2300,300,2000
L00000337,T0000141,SNK002,1,4300,0,4300
L00000338,T0000141,DES003,1,3300,500,2800
L00000339,T0000141,RTE001,2,6700,0,13400
L00000340,T0000141,SNK002,1,4000,200,3800
L00000341,T0000142,DES003,1,3700,300,3400
L00000342,T0000142,HOU003,1,6700,200,6500
L00000343,T0000142,HOU003,1,7100,300,6800
L00000344,T0000142,SNK001,1,3900,200,3700
L00000345,T0000142,BEV003,1,4200,500,3700
L00000346,T0000143,HOU001,1,3100,0,3100
L00000347,T0000144,RTE001,1,6500,0,6500
L00000348,T0000144,BEV003,1,4200,0,4200
L00000349,T0000145,SNK003,2,5000,300,9700
L00000350,T0000145,SNK001,1,3600,200,3400
L00000351,T0000145,BEV002,2,1600,200,3000
L00000352,T0000146,RTE001,1,6600,0,6600
L00000353,T0000146,SNK002,1,4200,300,3900
L00000354,T0000147,RTE003,1,5000,200,4800
L00000355,T0000148,RTE002,2,7000,0,14000
L00000356,T0000148,HOU002,1,2100,0,2100
L00000357,T0000148,BEV001,1,2700,300,2400
L00000358,T0000149,RTE002,1,7300,0,7300
L00000359,T0000149,HOU003,2,6900,200,13600
L00000360,T0000149,SNK001,1,3800,0,3800
L00000361,T0000149,RTE002,1,7000,0,7000
L00000362,T0000150,RTE004,1,8700,0,8700
L00000363,T0000150,BEV004,1,2600,500,2100
L00000364,T0000150,RTE004,1,8400,200,8200
L00000365,T0000150,SNK002,1,4400,500,3900
L00000366,T0000150,SNK001,3,3800,0,11400
L00000367,T0000151,SNK004,1,2900,0,2900
L00000368,T0000151,BEV003,1,4400,0,4400
L00000369,T0000151,BEV001,1,2500,0,2500
L00000370,T0000151,DES001,1,3300,500,2800
L00000371,T0000152,SNK004,1,2800,0,2800
L00000372,T0000152,RTE003,3,4800,200,14200
L00000373,T0000153,BEV002,2,1800,0,3600
L00000374,T0000153,DES001,2,2900,0,5800
L00000375,T0000154,SNK004,1,3000,500,2500
L00000376,T0000154,SNK003,1,5400,0,5400
L00000377,T0000155,DES003,1,3500,200,3300
L00000378,T0000155,DES001,1,2900,0,2900
L00000379,T0000155,HOU001,1,3000,0,3000
L00000380,T0000155,RTE004,1,8600,0,8600
L00000381,T0000155,DES003,1,3300,0,3300
L00000382,T0000156,BEV004,1,2800,500,2300
L00000383,T0000156,DES002,3,5700,300,16800
L00000384,T0000157,SNK002,2,4300,300,8300
L00000385,T0000158,DES003,1,3300,0,3300
L00000386,T0000158,RTE003,1,4600,0,4600
L00000387,T0000159,DES003,1,3500,300,3200
L00000388,T0000159,RTE004,2,8600,0,17200
L00000389,T0000160,SNK004,1,2900,300,2600
L00000390,T0000160,SNK004,1,2600,300,2300
L00000391,T0000161,BEV002,1,1800,0,1800
L00000392,T0000162,DES003,1,3500,500,3000
L00000393,T0000162,RTE004,1,8400,0,8400
L00000394,T0000163,SNK004,1,2800,0,2800
L00000395,T0000164,DES001,1,3200,200,3000
L00000396,T0000164,DES002,1,5900,200,5700
L00000397,T0000164,SNK001,3,3800,200,11200
L00000398,T0000165,BEV002,1,1800,0,1800
L00000399,T0000165,BEV003,2,4200,300,8100
L00000400,T0000165,RTE004,1,8800,200,8600
L00000401,T0000166,SNK003,1,5300,500,4800
L00000402,T0000167,RTE002,1,7400,200,7200
L00000403,T0000167,BEV003,1,4000,300,3700
L00000404,T0000167,SNK004,1,2800,500,2300
L00000405,T0000167,DES001,1,3200,0,3200
L00000406,T0000167,RTE004,1,8600,300,8300
L00000407,T0000168,BEV003,1,4300,0,4300
L00000408,T0000168,DES001,1,2900,0,2900
L00000409,T0000168,RTE001,2,6600,200,13000
L00000410,T0000168,RTE002,1,7000,0,7000
L00000411,T0000169,RTE002,1,7200,0,7200
L00000412,T0000169,BEV003,1,4300,500,3800
L00000413,T0000170,RTE003,1,4600,0,4600
L00000414,T0000170,SNK004,1,2900,0,2900
L00000415,T0000171,SNK003,1,5300,0,5300
L00000416,T0000172,HOU002,1,2500,500,2000
L00000417,T0000173,DES002,1,6000,300,5700
L00000418,T0000173,HOU001,1,3000,0,3000
L00000419,T0000173,RTE003,1,5000,500,4500
L00000420,T0000173,DES002,1,6000,500,5500
L00000421,T0000173,DES002,1,5700,500,5200
L00000422,T0000174,DES003,1,3500,500,3000
L00000423,T0000174,DES001,1,3300,200,3100
L00000424,T0000174,HOU002,1,2300,300,2000
L00000425,T0000175,BEV003,1,4200,0,4200
L00000426,T0000175,DES003,1,3500,0,3500
L00000427,T0000175,SNK003,1,5300,0,5300
L00000428,T0000175,RTE004,1,8800,0,8800
L00000429,T0000176,BEV003,1,4200,200,4000
L00000430,T0000176,DES003,1,3300,300,3000
L00000431,T0000176,SNK003,1,5200,500,4700
L00000432,T0000176,DES003,1,3500,200,3300
L00000433,T0000176,DES002,1,5700,0,5700
L00000434,T0000177,HOU001,1,2900,0,2900
L00000435,T0000177,RTE001,1,6600,200,6400
L00000436,T0000178,RTE001,1,6600,0,6600
L00000437,T0000178,HOU003,2,6700,500,12900
L00000438,T0000178,RTE004,2,8400,500,16300
L00000439,T0000179,RTE003,1,4800,300,4500
L00000440,T0000180,SNK002,2,4300,200,8400
L00000441,T0000180,SNK001,1,3800,0,3800
L00000442,T0000181,DES002,1,6100,200,5900
L00000443,T0000181,HOU001,1,3000,500,2500
L00000444,T0000181,SNK002,1,4300,0,4300
L00000445,T0000181,DES001,1,3300,0,3300
L00000446,T0000181,RTE003,2,5000,0,10000
L00000447,T0000182,BEV004,1,2800,200,2600
L00000448,T0000182,SNK003,1,5400,0,5400
L00000449,T0000183,DES003,1,3500,500,3000
L00000450,T0000184,DES003,1,3600,200,3400
L00000451,T0000184,SNK002,1,4200,300,3900
L00000452,T0000184,RTE004,1,8800,300,8500
L00000453,T0000185,HOU001,2,3100,500,5700
L00000454,T0000185,RTE001,1,6700,300,6400
L00000455,T0000186,BEV003,1,4000,500,3500
L00000456,T0000187,DES001,1,3300,0,3300
L00000457,T0000187,BEV003,2,4200,0,8400
L00000458,T0000188,RTE001,1,6500,500,6000
L00000459,T0000189,HOU003,2,7000,300,13700
L00000460,T0000189,RTE002,1,7200,0,7200
L00000461,T0000189,HOU003,1,7100,0,7100
L00000462,T0000189,BEV001,3,2500,300,7200
L00000463,T0000190,HOU002,1,2400,300,2100
L00000464,T0000190,DES002,1,5700,200,5500
L00000465,T0000190,DES002,1,6000,0,6000
L00000466,T0000190,HOU002,1,2100,0,2100
L00000467,T0000191,SNK002,1,4200,500,3700
L00000468,T0000191,BEV001,1,2500,0,2500
L00000469,T0000191,SNK004,3,2900,0,8700
L00000470,T0000191,RTE002,1,7400,0,7400
L00000471,T0000192,SNK003,1,5300,0,5300
L00000472,T0000192,DES002,1,5900,0,5900
L00000473,T0000192,BEV001,1,2700,500,2200
L00000474,T0000192,RTE003,2,4800,0,9600
L00000475,T0000193,DES003,1,3300,0,3300
L00000476,T0000193,DES003,1,3700,0,3700
L00000477,T0000194,BEV004,2,2800,0,5600
L00000478,T0000195,BEV004,1,2600,200,2400
L00000479,T0000195,BEV004,1,2600,0,2600
L00000480,T0000196,SNK001,1,3900,0,3900
L00000481,T0000197,RTE001,2,6700,200,13200
L00000482,T0000198,BEV004,1,2700,0,2700
L00000483,T0000198,RTE001,1,6600,0,6600
L00000484,T0000198,DES002,1,5900,500,5400
L00000485,T0000198,HOU003,1,6900,500,6400
L00000486,T0000198,RTE001,1,6300,0,6300
L00000487,T0000199,RTE004,1,8700,0,8700
L00000488,T0000200,HOU002,1,2400,300,2100
L00000489,T0000200,DES003,2,3500,0,7000
L00000490,T0000200,HOU003,1,6900,0,6900
L00000491,T0000201,RTE003,1,4800,0,4800
L00000492,T0000202,HOU003,1,6900,300,6600
L00000493,T0000203,SNK001,1,4000,0,4000
L00000494,T0000203,DES001,1,2900,0,2900
L00000495,T0000204,HOU003,2,7100,0,14200
L00000496,T0000204,HOU003,1,6900,0,6900
L00000497,T0000205,HOU002,1,2500,300,2200
L00000498,T0000206,HOU003,1,6900,0,6900
L00000499,T0000206,RTE001,1,6700,500,6200
L00000500,T0000207,RTE002,1,7000,0,7000
L00000501,T0000207,BEV001,1,2600,0,2600
L00000502,T0000207,BEV001,1,2600,300,2300
L00000503,T0000208,RTE001,1,6300,0,6300
L00000504,T0000209,SNK001,1,3800,300,3500
L00000505,T0000209,HOU003,1,6900,0,6900
L00000506,T0000210,HOU003,1,7000,0,7000
L00000507,T0000210,BEV001,1,2600,0,2600
L00000508,T0000211,BEV002,1,1800,0,1800
L00000509,T0000212,HOU001,1,2900,0,2900
L00000510,T0000212,DES001,1,3100,0,3100
L00000511,T0000212,DES002,1,5900,0,5900
L00000512,T0000212,BEV001,1,2600,300,2300
L00000513,T0000213,BEV003,1,4200,200,4000
L00000514,T0000213,DES001,1,3200,0,3200
L00000515,T0000213,BEV001,1,2300,0,2300
L00000516,T0000214,BEV004,1,2800,0,2800
L00000517,T0000214,BEV002,1,1800,0,1800
L00000518,T0000214,BEV004,3,2700,0,8100
L00000519,T0000214,RTE001,1,6500,0,6500
L00000520,T0000214,RTE002,1,7200,0,7200
L00000521,T0000215,SNK002,1,4200,0,4200
L00000522,T0000215,DES002,1,6100,300,5800
L00000523,T0000216,SNK001,1,3800,300,3500
L00000524,T0000217,SNK004,1,2800,0,2800
L00000525,T0000217,SNK003,2,5400,0,10800
L00000526,T0000217,SNK002,1,4300,500,3800
L00000527,T0000218,SNK001,1,3900,500,3400
L00000528,T0000218,RTE001,1,6500,0,6500
L00000529,T0000218,DES001,1,3300,0,3300
L00000530,T0000218,SNK001,2,3800,0,7600
L00000531,T0000218,RTE001,1,6600,0,6600
L00000532,T0000219,BEV003,2,4400,500,8300
L00000533,T0000219,BEV003,1,4200,300,3900
L00000534,T0000220,SNK002,2,4200,0,8400
L00000535,T0000220,BEV003,1,4200,200,4000
L00000536,T0000221,BEV004,1,2400,0,2400
L00000537,T0000221,SNK003,1,5200,300,4900
L00000538,T0000221,DES003,1,3500,0,3500
L00000539,T0000221,BEV003,1,4000,500,3500
L00000540,T0000222,RTE001,1,6700,500,6200
L00000541,T0000223,RTE001,1,6300,0,6300
L00000542,T0000223,SNK004,1,3000,300,2700
L00000543,T0000224,SNK003,1,5200,0,5200
L00000544,T0000224,HOU003,1,6900,0,6900
L00000545,T0000224,RTE004,1,8600,0,8600
L00000546,T0000225,BEV003,1,4200,0,4200
L00000547,T0000225,BEV003,1,4300,500,3800
L00000548,T0000226,BEV003,1,4200,300,3900
L00000549,T0000226,RTE002,1,7200,0,7200
L00000550,T0000227,HOU003,1,6900,300,6600
L00000551,T0000227,SNK001,1,3600,300,3300
L00000552,T0000227,RTE004,1,8600,200,8400
L00000553,T0000227,HOU002,1,2400,500,1900
L00000554,T0000228,RTE001,1,6500,0,6500
L00000555,T0000228,DES001,1,3100,300,2800
L00000556,T0000229,RTE003,2,4900,200,9600
L00000557,T0000229,HOU003,2,7100,300,13900
L00000558,T0000230,DES003,2,3500,0,7000
L00000559,T0000230,DES002,1,6100,0,6100
L00000560,T0000231,SNK002,1,4400,500,3900
L00000561,T0000231,RTE003,1,4800,0,4800
